지점,지점명,일시,평균기온(°C),합계 강수량(mm),평균 상대습도(%),합계 일조시간(hr)
90,속초,2008,13,1415,63,2224.6
90,속초,2009,12.8,1420.1,61.1,2185.2
90,속초,2010,12.3,1283.6,62.3,2065.7
90,속초,2011,12.1,1656.1,62,2043.2
90,속초,2012,12,1217.7,67.4,2101
90,속초,2013,12.9,1115.7,65.7,2439.3
90,속초,2014,13.2,1099,68.3,2386
90,속초,2015,12.6,1127.7,67.5,2413.6
90,속초,2016,12.8,1333.8,68.4,2205.3
90,속초,2017,13.1,1208.2,61.6,2497.9
90,속초,2018,12.6,1777,61.7,2421.1
90,속초,2019,13.8,1355.5,60.6,2543.1
90,속초,2020,13.3,2085.8,61.7,2447.9
90,속초,2021,13.2,1199.7,64.5,2478.1
90,속초,2022,12.9,1637.3,61.8,2488.1
90,속초,2023,13.6,1768.8,63.5,2379.8
93,북춘천,2016,,208.4,,475
93,북춘천,2017,11.3,1133.4,66.3,2503.1
93,북춘천,2018,11.2,1261.9,65.6,2542
93,북춘천,2019,11.7,931.8,68.6,2368.7
93,북춘천,2020,11.4,1561.4,72.5,2281.7
93,북춘천,2021,11.6,1065.2,73.5,2303.2
93,북춘천,2022,11,1590.8,71.8,2383.2
93,북춘천,2023,11.9,1366.8,74,2518.1
95,철원,2008,10.4,1504.9,70.3,2108.7
95,철원,2009,10.4,1599.1,70.1,2075.4
95,철원,2010,10.1,1867.5,72.1,1776.1
95,철원,2011,9.8,1656.3,69.5,2059.4
95,철원,2012,9.6,1317.7,68.1,2179.9
95,철원,2013,10,1758.9,72,2364.4
95,철원,2014,11,684.4,67.8,2486.9
95,철원,2015,11.1,1094.9,66.7,2625.1
95,철원,2016,11.2,1180.9,67.3,2356.9
95,철원,2017,10.5,1233.4,65.8,2379.7
95,철원,2018,10.4,1480.6,69.1,2506.1
95,철원,2019,11.1,920.5,73.7,2754.5
95,철원,2020,11,1749.3,78.3,2597.2
95,철원,2021,11.3,1115.3,78.7,2669.6
95,철원,2022,10.5,1752.7,74.8,2683
95,철원,2023,11.5,1467.2,74.7,2499.2
98,동두천,2008,11.7,1518.2,68.1,2137.1
98,동두천,2009,11.7,1527.8,66.9,2087.1
98,동두천,2010,10.9,1939.5,67.5,1845.9
98,동두천,2011,10.7,2311.2,63.9,2111.8
98,동두천,2012,11,1383.9,64,2408.2
98,동두천,2013,11.4,1470.9,67.3,2398.2
98,동두천,2014,12.1,741.6,64.2,2418
98,동두천,2015,12.4,988.5,62,2483.1
98,동두천,2016,12.6,1087.2,61,2412.1
98,동두천,2017,11.8,989.7,60.7,2446.4
98,동두천,2018,11.7,1500,61,2590.3
98,동두천,2019,12,1028.1,68.6,2563.3
98,동두천,2020,11.8,1641.9,72.8,2440.3
98,동두천,2021,12.1,1035.6,73.4,2417.4
98,동두천,2022,11.5,1922.6,70.3,2500.4
98,동두천,2023,12.5,1412.7,71.9,2282.7
99,파주,2008,11,1302.5,71.6,2193
99,파주,2009,11,1507.3,71.5,2176.2
99,파주,2010,10.6,1827.2,73.7,1914.8
99,파주,2011,10.4,2063.3,72.3,2114.3
99,파주,2012,10.9,1436.1,71.3,2484.2
99,파주,2013,11,1347.4,73.4,2424.9
99,파주,2014,11.4,642.7,67.6,2524.9
99,파주,2015,11.6,716.2,66,2623
99,파주,2016,11.7,1163.9,68.2,2555.7
99,파주,2017,10.5,947.8,70.9,2568.4
99,파주,2018,10.5,1009.5,73,2592.8
99,파주,2019,11.3,1022.4,73.6,2532.7
99,파주,2020,11.2,1612.3,76.2,2417.7
99,파주,2021,11.5,1037.9,76.3,2484.7
99,파주,2022,10.7,1730.5,75.8,2523.9
99,파주,2023,11.7,1438,78,2233.1
100,대관령,2008,7.2,1128.6,74.2,2084.4
100,대관령,2009,7.4,1331.7,72.6,2071.6
100,대관령,2010,7.2,1217.3,72.8,1999.6
100,대관령,2011,6.8,1762.1,72.1,2073
100,대관령,2012,6.5,1288.7,73.5,2363.7
100,대관령,2013,7.5,1052.3,73.2,2467.1
100,대관령,2014,7.7,1308.2,73.5,2382.3
100,대관령,2015,8,981.9,72.5,2570.8
100,대관령,2016,8.1,1184,72.9,2719.4
100,대관령,2017,7.3,1025.3,71.3,2909
100,대관령,2018,7.2,1731.4,71.9,2661
100,대관령,2019,8.1,1198.5,74.2,2590.2
100,대관령,2020,7.8,1755.8,77.1,2520.3
100,대관령,2021,7.9,1027.3,75.7,2451
100,대관령,2022,7.6,1361.2,70.8,2500.5
100,대관령,2023,8.5,1291.8,73.7,2186.6
101,춘천,2008,11.3,1439.4,70.3,2036
101,춘천,2009,11.5,1446.9,69.2,2083.9
101,춘천,2010,11,1581.4,70,1844.3
101,춘천,2011,10.7,2029.3,69.4,1971.1
101,춘천,2012,10.7,1324.3,68.7,2082.2
101,춘천,2013,11.1,1738.9,72.8,2103.5
101,춘천,2014,12.1,674.4,70.5,2301.5
101,춘천,2015,12.5,757.8,69.8,2404.6
101,춘천,2016,12.4,1333.8,70.8,2321.5
101,춘천,2017,11.7,1217.2,70.3,2387.3
101,춘천,2018,11.6,1401.5,69.2,2480.3
101,춘천,2019,12.3,923.2,68.3,2348.8
101,춘천,2020,12.2,1550.9,68.5,2284.5
101,춘천,2021,12.4,1045.9,69.6,2303.4
101,춘천,2022,11.9,1728.4,69.6,2386
101,춘천,2023,12.4,1389.8,68.7,2178.6
102,백령도,2008,11.4,892.7,69.9,2110.6
102,백령도,2009,11.6,795.6,69,2190.9
102,백령도,2010,10.9,1050.5,72.3,1941.4
102,백령도,2011,10.2,988.1,72.3,1947.7
102,백령도,2012,10.5,892.3,70.2,2110.3
102,백령도,2013,10.6,863.5,71.3,2483.4
102,백령도,2014,11.6,391.9,69.1,2491.9
102,백령도,2015,11.9,601.5,68.7,2490.9
102,백령도,2016,11.9,734,72.2,2266.4
102,백령도,2017,11.8,335.1,71.6,2459.2
102,백령도,2018,11,831.1,74.2,2219
102,백령도,2019,12,595.4,75,2386.5
102,백령도,2020,12.1,1258.4,76.7,2178.2
102,백령도,2021,12.5,1119.8,73.8,2229.3
102,백령도,2022,11.8,1021.1,72.4,2215.4
102,백령도,2023,12.5,938,75.3,2213.8
104,북강릉,2008,,816.8,,957.4
104,북강릉,2009,12.5,1209.5,61.4,2215
104,북강릉,2010,12.2,1086.6,62.1,2135.5
104,북강릉,2011,11.8,1692.6,62.6,2112.1
104,북강릉,2012,11.8,1280.3,60.5,2345.6
104,북강릉,2013,12.6,895.9,59.9,2490.3
104,북강릉,2014,12.8,1361.6,60.3,2308.9
104,북강릉,2015,13.1,1017.5,59.6,2418.5
104,북강릉,2016,13.1,1204.2,67.1,2231.4
104,북강릉,2017,13.1,1172.4,62.8,2505.8
104,북강릉,2018,12.7,1548.1,61.4,2461.6
104,북강릉,2019,13.6,1569.7,59.7,2458.2
104,북강릉,2020,13.1,1801.7,61.7,2422.5
104,북강릉,2021,13.1,1392.4,64.8,2409.4
104,북강릉,2022,13.1,1528.7,61.9,2456.9
104,북강릉,2023,13.9,1634.1,63.4,2438.7
105,강릉,2008,14,1342.7,58.2,2138.2
105,강릉,2009,13.4,1183,59.4,2059.3
105,강릉,2010,13,1102.8,61.8,1948.4
105,강릉,2011,12.6,1810.5,60.5,1944.7
105,강릉,2012,12.6,1321.4,58.9,2218.5
105,강릉,2013,13.6,921.7,57,2438.7
105,강릉,2014,13.8,1388.7,57.6,2198.3
105,강릉,2015,13.9,1047.4,56.7,2453
105,강릉,2016,13.8,1258.2,57.4,2409.4
105,강릉,2017,13.9,1081.9,52.2,2636
105,강릉,2018,13.7,1599.4,55.8,2570.1
105,강릉,2019,14.7,1670.5,56.5,2559.8
105,강릉,2020,14.3,1812.9,60.9,2248.3
105,강릉,2021,14.6,1316.4,62.2,2172.3
105,강릉,2022,14.7,1465.5,58.8,2315.2
105,강릉,2023,15.5,1568.3,60.2,2341.4
106,동해,2008,13.3,978.5,63.2,2171.1
106,동해,2009,13.4,940.9,62.6,2200.5
106,동해,2010,12.5,1049.1,64.1,2128.3
106,동해,2011,12.1,1765.7,65.3,2111.6
106,동해,2012,12.2,1123.3,63.4,2425.4
106,동해,2013,13.2,964.2,62.2,2479.8
106,동해,2014,13.3,1411.1,62.8,2230.5
106,동해,2015,13.8,911.2,63.3,2265.4
106,동해,2016,14.2,924.5,67.1,2238.5
106,동해,2017,14.1,985.7,62.1,2502.3
106,동해,2018,13.2,1436.5,62.8,2416.4
106,동해,2019,13.4,1532.8,62.8,2400.6
106,동해,2020,12.9,1322.4,64.3,2387
106,동해,2021,13.5,1244.6,66.4,2383.1
106,동해,2022,13.7,1101.4,63.9,2402.5
106,동해,2023,14.4,1356.8,65.8,2457.7
108,서울,2008,12.9,1356.3,59.4,2145.4
108,서울,2009,12.9,1564,61.1,2145.4
