지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),합계 일조시간(hr)
90,속초,2008-01,.3,50,71.1,161.5
90,속초,2008-02,1.3,36,.6,216
90,속초,2008-03,7.3,63,103.9,156
90,속초,2008-04,13.1,62,13.5,210.8
90,속초,2008-05,16.8,67,70,205.1
90,속초,2008-06,18.7,79,91.3,174.1
90,속초,2008-07,25.3,77,361.6,154
90,속초,2008-08,23.4,83,343.1,188.7
90,속초,2008-09,20.7,77,129.9,196.3
90,속초,2008-10,16.8,64,73.5,208.6
90,속초,2008-11,9.1,53,78.5,169.7
90,속초,2008-12,3.6,45,78,183.8
90,속초,2009-01,.2,41,29,212.6
90,속초,2009-02,4.5,53,27,139.6
90,속초,2009-03,7,54,83.2,181.8
90,속초,2009-04,12.8,55,111.2,237.6
90,속초,2009-05,17.7,64,50.5,226.5
90,속초,2009-06,20.2,74,181.1,169.2
90,속초,2009-07,21.7,84,405.2,133.9
90,속초,2009-08,23.1,78,247.3,148.2
90,속초,2009-09,20,73,20.5,187.8
90,속초,2009-10,16.3,56,29.8,230.7
90,속초,2009-11,8.2,58,220.6,135.8
90,속초,2009-12,2,43,14.7,181.5
90,속초,2010-01,-.4,44,41.5,194.1
90,속초,2010-02,1.5,59,113.5,134.1
90,속초,2010-03,3.7,66,152.1,122.5
90,속초,2010-04,9.1,57,51.6,186.3
90,속초,2010-05,16,64,149.5,206.6
90,속초,2010-06,20.1,75,18,245.9
90,속초,2010-07,25,77,92.8,132.8
90,속초,2010-08,25.7,81,274.4,112.4
90,속초,2010-09,20.4,78,272,138.3
90,속초,2010-10,14.9,68,86.5,178.3
90,속초,2010-11,9.1,41,12,222.9
90,속초,2010-12,2.8,37,19.7,191.5
90,속초,2011-01,-2.7,33,12,234
90,속초,2011-02,2.1,62,105.6,150.8
90,속초,2011-03,5.3,45,20.4,226.8
90,속초,2011-04,11.4,54,115.7,207.6
90,속초,2011-05,14.3,71,65.3,133
90,속초,2011-06,20.2,72,341.5,199.1
90,속초,2011-07,22.3,87,412.1,77.4
90,속초,2011-08,24.8,81,140.3,136.6
90,속초,2011-09,20.4,72,190.1,169.3
90,속초,2011-10,14.9,59,22.1,203.2
90,속초,2011-11,11,64,131.3,118.7
90,속초,2011-12,1.3,44,99.7,186.7
90,속초,2012-01,-.4,43,24.2,186
90,속초,2012-02,.1,46,22.7,214.1
90,속초,2012-03,5.3,63,85.3,176.8
90,속초,2012-04,12.1,65,133,199
90,속초,2012-05,16.4,77,46.1,172.7
90,속초,2012-06,19.8,88,76.2,126.2
90,속초,2012-07,23.9,85,244.3,153.5
90,속초,2012-08,24.4,89,212.5,82.1
